address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff,class
13avSf6Nw29HvLpjNwzC4oznNXCYoWiuBn,7997341.0,15,12,2.466666666666667,37,15,4550.0,24739.375,163200.0,791.0,59.43,59.43,3.9619999999999997,1.60621621622,59.42999999999999,0
1EdGARt3FEomSEpaXimGjMvsZwPdy4DWLZ,90354292.0,22,368,3.918918918918919,435,111,11046.0,110551.94185999999,4420073.0,0.0,87.84537645,87.84537645,0.791399787838,0.201943394138,87.84537644999997,0
19uNfwjEGz6eeBX2LUuUUsK33VqSzVKS9Z,3458480.0,13,29,1.0666666666666669,64,60,9505.0,15478.875,80901.0,401.0,56.22,56.22,0.937,0.8784375,56.22000000000001,0
1Kcmt5XHznuAvSfkNYeksC7ymbyGmi8e6B,1577440.0,12,19,1.069767441860465,46,43,4502.0,10996.333333,89776.0,0.0,13.2,13.2,0.306976744186,0.286956521739,13.199999999999998,0
1H3vqrwJpmsrvUAbZ3eyW5YEmRy18yadet,20112815.0,12,66,1.2314049586776858,149,121,11408.0,14241.673912999999,56015.0,0.0,36.45,36.45,0.301239669421,0.244630872483,36.45000000000012,0
16cKPPWMKSiegJwqKj4xpEPm14S5dhoWcS,4093507.0,12,31,1.064516129032258,66,62,14090.0,16308.764706,54934.0,0.0,2.49,2.49,0.0401612903226,0.037727272727300004,2.490000000000001,0
19ULqZSRFAnMMgwJqU3acDYWzbyCBmaKvN,60670651.0,2,381,35.09090909090909,386,11,38181.0,49827.7,146529.0,7266.0,150.08,150.08,13.643636363599999,0.388808290155,150.0800000000001,0
1DF4v2GMtQxJCAQNadhPx3tK2XmLqfZ9c7,3607780.0,5,27,1.0967741935483872,34,31,7291.5,17392.166666999998,134128.0,975.0,0.551,0.551,0.017774193548400003,0.0162058823529,0.5510000000000002,0
1HgSBZ1Wiwny1K6FSZq6MyHpawVjp2o6Xp,74985102.0,6,33,1.6842105263157894,32,19,2146.0,64092.4,277686.0,0.0,5.65004335,5.65004335,0.297370702632,0.176563854687,5.65004335,0
16X7zpci5B4mQ4JXksJqcNLxPr9rhp4gFr,60012756.0,2,39,1.8125,29,16,153049.0,307271.545455,1618706.0,5001.0,61.93005213,61.93005213,3.8706282581199996,2.13551903897,61.93005213,0
1ACEdnwebVAVo6ovenbzmkBzodmmWZmU3i,11006359.0,2,56,8.0,56,7,51726.0,93289.25,256594.0,13111.0,15.9,15.9,2.27142857143,0.283928571429,15.9,0
1DZgvfXwpQDmBGmNe8AAteo6RiwbtbwN3r,158184905.0,7,36,17.0,85,5,176092.0,841623.333333,2312103.0,36675.0,2.63545969,2.63545969,0.527091938,0.0310054081176,2.63545969,0
15sQxTSq4GvbG7LREQc5HkwvwLW9c1LL8i,15692719.0,5,39,9.714285714285714,68,7,105005.0,76505.0,113731.0,10779.0,229.73439711,229.73439711,32.8191995871,3.3784470163200004,229.7343971100001,0
1PmhxzYEm929kfn1XmSrv3nrF6LCusRjXe,3719302.0,4,35,1.0,32,32,13309.0,24799.37037,80812.0,2278.0,36.67,36.67,1.1459375,1.1459375,36.67000000000001,0
13AQ3NJAQyucPs1q6fjZ4H7KMEBbbiLgmZ,70505637.0,9,36,3.037037037037037,82,27,14454.5,11682.75,15630.0,2192.0,11.080279,11.87837666,0.410380703704,0.144858251951,11.87837666,0
1PJLL8rcN74Zyz8QyhuSEqJnB1p7sFvRvi,10456971.0,4,25,1.5,24,16,13718.5,33551.666667000005,169839.0,1798.0,143.54,143.54,8.97125,5.980833333330001,143.54,0
1FygL2WZp8m2RPLCdgN42gBJjgFditeq5Y,22924512.0,7,93,3.4285714285714284,96,28,46119.0,58147.88,174327.0,356.0,81.46,81.46,2.90928571429,0.848541666667,81.46000000000002,0
1LM3hRDiPc4bL995xR54fcW6mctgbmht3Q,10983448.0,4,35,10.5,42,4,8216.5,8216.5,15792.0,641.0,4.8,4.8,1.2,0.114285714286,4.799999999999999,0
14sxvhx1iXw8yr5b7zWgVKgZpWAg8wxAqE,28431197.0,3,107,4.04,101,25,10980.0,25975.866667,127395.0,3231.0,40.3992171,40.3992171,1.615968684,0.399992248515,40.3992171,0
1LdaG25JRrhwjb8g9mBxCk6Zb1YherwhSW,3531099.0,5,12,1.0,13,13,7987.5,29342.9,186983.0,1959.0,1.33,1.33,0.10230769230799999,0.10230769230799999,1.33,0
1CetafuSUXgYeNLmNeJuG9eSyMjBELsXxy,4211028.0,4,12,1.3333333333333333,16,12,2435.0,6654.636364,24961.0,333.0,89.0,89.0,7.416666666669999,5.5625,89.00000000000001,0
18E83Swk2S7Kjj8P7rdySm5AScRsXNgxwE,5501441.0,5,22,1.4615384615384617,19,13,57971.0,170651.777778,702602.0,0.0,133.2295,133.2295,10.238461538500001,7.005263157889999,133.10000000000002,0
1MfH4M4HmKVanopwP29V4JxwPjw6dPFKdj,41983623.0,4,21,1.0625,17,16,11223.5,282829.3,1894643.0,1523.0,303.84479869,303.84479869,18.9902999181,17.8732234524,303.84479869,0
19CvdpgbfGTYEJZDThrep7WnsiHrp6fjwt,22575297.0,2,45,5.125,41,8,101463.5,245643.125,878172.0,0.0,10.83593164,10.83593164,1.354491455,0.26429101561,10.83593164,0
1MiXTV2Z4NhmGtzMUUsnaCPJnbkSyDJLg9,2185859.0,4,18,2.071428571428572,29,14,65489.5,95727.1,332850.0,3261.0,56.33,56.33,4.0235714285699995,1.9424137931,56.33,0
