address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,addresses_in_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff,class
1AjNKjzGtrnrziEzkypuU5aSRRK8cMm5UB,39996679,"('2011-07-31', 4)",56,5.142857143,72,14,67,70880,142973.1667,526725,17599,42.16506492,42.16506492,3.011790351,0.585625902,42.16506492,0
1WLSx7PP1uDavVVAn5UREMAkXxB6NPCUs,62543419,"('2011-06-10', 3)",28,3.181818182,35,11,66,12776,195771.25,1465044,1786,22.44,22.44,2.04,0.641142857,22.44,0
1K4ST8vyQfSf72jyLsbzg5U5rA2bY9fWSJ,121816644,"('2011-02-14', 3)",26,2.625,21,8,62,177399,7379915.6,35706608,4991,0.86691067,0.86691067,0.108363834,0.04128146,0.86691067,0
1nggzuTDHDpCVZsEWcLsH8YfWGVDNyLxP,87375567,"('2012-07-23', 17)",158,7.869565217,181,23,67,1907,190704.9333,1115872,0,22.75414702,22.75414702,0.98931074,0.125713519,22.75414702,0
1D7Zjogj8GV3qvLoDwiA9qjZ97sZZPzanp,6048694,"('2011-04-08', 12)",16,1.045454545,23,22,66,5616,44879.83333,346982,0,814.1,814.1,37.00454545,35.39565217,814.1,0
1E5c6i2MjK1ErUyATWqQJXEtTgTuxUTsCc,3469794,"('2011-06-04', 10)",18,1.25,25,20,67,4251,24124.13333,187147,0,635.33,635.33,31.7665,25.4132,635.33,0
1KhwVhc3Q4zmdX6ifVwyBxeZcUuzmmxyn1,93031042,"('2011-05-24', 4)",33,2.727272727,30,11,67,247255,247255,483339,11171,31.96303155,31.96303155,2.905730141,1.065434385,31.96303155,0
13kv7pPW6yqMRpuxdNHzQKwmJss9z8Bcti,28234963,"('2011-02-27', 36)",235,6.295454545,831,132,67,8930.5,31609.04444,249281,0,2210.267792,2210.267792,16.74445297,2.659768702,2210.267792,0
122ehyPM3y7xFKyZGvtaS4P2yMwwgR3Aku,37497486,"('2012-01-03', 3)",37,10,40,4,61,945445.5,945445.5,1669023,221868,36.53306583,36.53306583,9.133266458,0.913326646,36.53306583,0
1LHejBRLEuZC5BET5qAwKayikQLFxEnz5M,10178058,"('2011-06-06', 4)",30,8,48,6,67,42604.5,53387.75,127794,548,53.97,53.97,8.995,1.124375,53.97,0
1LEXtwNzTNdJ3fcDoEtnx7wsYiCMeZdBfN,7099081,"('2011-05-27', 3)",22,29,29,1,37,1784,1784,1784,1784,600000,1.68,0.06,0.057931034,1.68,0
