Name,Address,In Tx,Out Tx,In BTC,Out BTC,In USD,Out USD,Paying,Paid,Date 1st Tx,Date last Tx,Lifetime,Cluster Size,,,,
7dayponzi,195o79saDhUNHJ4DeMBYMekLmrQ848APxA,6,18,0.77353836,0.77353836,$202 ,$185 ,6,20,3/21/15 20:53,5/26/15 11:46,65.62048611,1,,,,
world-btc.online,1A88teD6QqXRHBMCyCkoxxBQHpJAztUz6e,262,40,1.91078261,1.90880614,"$2,060 ","$2,019 ",252,44,1/20/17 19:35,7/25/17 16:43,185.8805324,41,,,,
bestdoubler.eu,13NZxtAnKk5mbCUHpxHqKwWTDJzFHMGHLh,3312,13,12.380366,5.48032104,"$17,339 ","$13,408 ",3212,8,12/28/16 19:13,8/20/17 22:33,235.1388542,4,,,,
bitcoindoubler.prv.pl,18Smkvyf3gJN4z59FhjJsCu6NhSYmZkNvG,3461,83,11.51663176,11.49342627,"$9,235 ","$9,678 ",3346,6,5/16/16 20:04,8/20/17 15:20,460.8033218,1,,,,
Longtermpaying,1MnuUkqvsyZdwd3xyM354kqVoPBhfBGE78,813,691,12.97561265,12.97561265,"$3,698 ","$3,645 ",809,88,10/2/15 20:15,11/16/15 17:33,44.88760417,1,,,,
ebitinvest.com,1LkT3qubANxtSHvxokZ8Nkrv6k7EFi6F1,394,20,16.67914198,16.51472477,"$39,861 ","$34,646 ",387,10,2/8/17 11:08,8/23/17 16:00,196.2025347,1,,,,
PonziCoin,1NcHirWVDfUAngWLjBzmPCQaeZaMPCceHC,2784,442,229.2335316,229.2198316,"$132,158 ","$131,240 ",594,628,2/16/14 11:29,5/8/14 15:08,81.15185185,243,,,,
CoinDoubleP2,15vr3X25cgfMBXpX8PQP3M6bQViFgqrm6U,65,102,3.28505304,3.28505304,"$1,238 ","$1,245 ",37,51,1/14/16 21:58,2/12/16 12:48,28.61792824,2,,,,
CoinDoubleP1,1AA4A7cbVf3wMtG1RrhDoPkjAX2C1RJMjW,55,35,3.71802014,3.71802014,"$1,422 ","$1,406 ",50,30,2/8/16 23:10,2/14/16 12:39,5.561828704,3,,,,
CoinDoubleP3,1NNSgNDU52W79QbXHGSBYHW874nQYb7oms,7,3,4.131043,4.131043,"$1,680 ","$1,633 ",4,4,2/11/16 18:13,2/14/16 17:47,2.981944444,2,,,,
CryptoSplit2,1P5rm8YmufwfNdqg6Dy47boaeBCXvEDjUP,226,66,1.33583503,1.33583503,$336 ,$336 ,206,35,1/15/14 18:08,5/25/16 9:39,860.6465972,2,,,,
CryptoSplit,147MddkTvgHR2kEoEpj5fjx7MK71va54y5,93558,32687,35654.37673,35654.29597,"$15,124,204 ","$15,080,065 ",56248,47880,5/22/13 15:15,7/12/17 22:25,1512.298831,1763,,,,
Trusted Business Investments,1NWdUDU4X91JTKEFJRKgmW4yYsUhWnaMJH,58,33,6.57080491,6.57080491,"$11,361 ","$10,535 ",48,46,1/30/17 17:01,5/20/17 4:22,109.4732176,22,,,,
SmallProfit,133ySbYkiA7BTtau2v3Hs4GLoDgGZFNDbD,6373,2145,32.39176784,32.39176784,"$19,961 ","$19,914 ",476,524,3/12/16 20:05,6/3/17 7:58,447.4952778,1,,,,
SmallProfit (2),1Bb4JG51DizK6iSn4w4RqhRNXPUpkhacHx,1930,61,0.2912091,0.29104289,$185 ,$178 ,2,36,4/7/16 8:33,4/23/47 3:31,11337.79014,1,,,,
Magic Bitcoin Doubler,1QLbGuc3WGKKKpLs4pBp9H6jiQ2MgPkXRp,47966,1273,404.4514037,228.2657446,"$77,049 ","$209,035 ",1094,122,2/16/14 13:43,7/23/17 0:42,1252.457639,135,,,,
coin-generator.net,18Xiqg52FfgA43rqCyCU5iqq6KNBgjTBj8,430,38,2.34909721,2.34909721,"$3,608 ","$3,342 ",417,25,3/18/17 11:40,5/29/17 11:58,72.0121412,36,,,,
MMM Global,1MxA5W1TKcMwLNh6EYL9QwAMLXtifHnxwb,13,9,7.01291191,7.01281458,"$1,663 ","$1,721 ",13,9,6/2/15 9:28,8/27/15 14:16,86.20025463,1,,,,
BTC-flow (2),1CjGx5ujxvzdbZqzzhPREXqvxoYSgDoAgd,283,25,0.08627021,0.08619353,$34 ,$30 ,231,7,2/21/15 9:12,2/21/15 19:12,0.41662037,2,,,,
WeeklyPonzi,1CHJArco4Qv6cmTZNF7Km7cuATCD1Z1NSu,601,226,13.49832403,13.49730403,"$6,724 ","$7,134 ",97,53,2/26/14 22:49,11/4/14 23:50,251.0420023,5,,,,
DoubleBot,1LWadswFVXwCoVSKAeo3tuxWKqKr1EWFxR,163,135,0.35090084,0.35090084,$97 ,$98 ,43,370,3/16/15 17:06,2/23/16 11:50,343.7801968,21,,,,
ClearHash.net (1),1AFjgfnUhAYp4eh2GhbbLkCXY5xK25qJmQ,608,193,5.14717467,5.13883827,"$2,094 ","$1,990 ",464,35,11/16/14 11:42,6/30/17 20:27,957.3647106,1,,,,
ClearHash.net (2),1DXxLzocfWXTHVYv4MTai4LLtXZgcJDknZ,16,14,0.5367,0.53611497,$142 ,$148 ,15,13,3/15/15 20:35,3/25/15 5:28,9.370763889,2,,,,
ClearHash.net (4),19g9exzmtJ2sQbBBB3x2PiY9pReVCm8HqA,6,7,0.0158,0.0158,$5 ,$5 ,6,7,3/15/15 20:08,3/16/15 8:46,0.526203704,2,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
